Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\PCB_Project_1\.\ps32_lite_rev_a_public_fab\Pick Place\Pick Place for ps32-lite_rev_a_public(With Power Sequencing).csv

========================================================================================================================
File Design Information:

Date:       27.12.22
Time:       09:54
Revision:   Not in VersionControl
Variant:    With Power Sequencing
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"C1","43.9420mm","75.9460mm","TopLayer","90"
"C2","43.9502mm","66.2476mm","TopLayer","90"
"C3","43.9418mm","61.1289mm","TopLayer","90"
"C4","43.9699mm","56.2502mm","TopLayer","90"
"C5","53.9633mm","53.4473mm","TopLayer","0"
"C6","69.3519mm","63.1245mm","TopLayer","90"
"C7","44.2244mm","4.6458mm","TopLayer","270"
"C8","48.6585mm","46.1954mm","TopLayer","180"
"C9","25.7810mm","4.5720mm","TopLayer","270"
"C10","69.4435mm","75.0811mm","TopLayer","270"
"C11","27.9687mm","41.1990mm","TopLayer","270"
"C12","55.6451mm","78.6096mm","TopLayer","180"
"C13","48.5665mm","53.4971mm","TopLayer","180"
"C14","43.9904mm","69.5546mm","TopLayer","270"
"C15","65.5320mm","53.3400mm","TopLayer","180"
"C16","69.3420mm","67.1830mm","TopLayer","90"
"C17","37.2110mm","93.4720mm","TopLayer","90"
"C18","33.4010mm","93.4720mm","TopLayer","90"
"C19","74.9148mm","94.2654mm","TopLayer","90"
"C20","63.9876mm","94.1715mm","TopLayer","270"
"C21","59.4930mm","94.2918mm","TopLayer","90"
"C22","48.5988mm","94.1492mm","TopLayer","270"
"C23","65.9127mm","78.5486mm","TopLayer","180"
"C24","60.0710mm","78.6130mm","TopLayer","180"
"CN1","19.1500mm","49.5400mm","TopLayer","90"
"D1","69.1944mm","78.5434mm","TopLayer","180"
"EXT","74.6347mm","63.2790mm","TopLayer","90"
"LED_1.2","82.3705mm","89.8882mm","TopLayer","180"
"LED_3.3","82.3705mm","92.3646mm","TopLayer","180"
"LED_FPGA","82.3705mm","97.2681mm","TopLayer","180"
"LED_PI","82.3705mm","94.8140mm","TopLayer","180"
"M1","29.3674mm","84.5160mm","TopLayer","180"
"M2","87.3674mm","84.5160mm","TopLayer","180"
"M3","29.3674mm","35.5160mm","TopLayer","180"
"PI","58.3660mm","84.5270mm","TopLayer","0"
"Q1","41.3664mm","94.8125mm","TopLayer","270"
"Q2","44.6658mm","94.8169mm","TopLayer","270"
"Q3","77.8542mm","78.3373mm","TopLayer","90"
"Q4","74.4270mm","78.3068mm","TopLayer","90"
"Q5","28.1829mm","94.5812mm","TopLayer","90"
"Q6","28.2053mm","90.6785mm","TopLayer","90"
"R2","41.3578mm","97.2894mm","TopLayer","180"
"R3","48.5884mm","52.1757mm","TopLayer","0"
"R4","24.7673mm","26.2354mm","TopLayer","0"
"R5","72.4592mm","73.0394mm","TopLayer","180"
"R6","72.4719mm","74.4313mm","TopLayer","180"
"R7","48.3900mm","79.2635mm","TopLayer","90"
"R8","46.3116mm","79.8114mm","TopLayer","180"
"R9","30.7485mm","93.9891mm","TopLayer","270"
"R10","30.6830mm","90.3756mm","TopLayer","270"
"R13","49.8776mm","79.2590mm","TopLayer","270"
"R16","58.2613mm","52.1300mm","TopLayer","180"
"R17","58.2661mm","53.4053mm","TopLayer","180"
"R18","56.3475mm","52.7932mm","TopLayer","270"
"R19","44.9126mm","91.4320mm","TopLayer","180"
"RN1","25.6514mm","71.1591mm","TopLayer","90"
"RN2","25.6514mm","66.9517mm","TopLayer","90"
"RN3","25.6514mm","62.7391mm","TopLayer","90"
"RN4","25.6514mm","58.5132mm","TopLayer","90"
"RN5","25.6514mm","54.2849mm","TopLayer","90"
"RN6","25.6514mm","50.0808mm","TopLayer","90"
"RN7","25.6540mm","45.8470mm","TopLayer","90"
"RN8","25.6514mm","41.6266mm","TopLayer","90"
"RN9","82.1072mm","76.9341mm","TopLayer","180"
"RN10","78.3400mm","95.3448mm","TopLayer","270"
"U1","56.6075mm","66.0781mm","TopLayer","270"
"U2","39.4891mm","45.1728mm","TopLayer","270"
"U3","39.4870mm","37.0089mm","TopLayer","270"
"U4","39.4391mm","28.9455mm","TopLayer","270"
"U5","39.3944mm","20.8572mm","TopLayer","270"
"U6","39.3944mm","12.7503mm","TopLayer","270"
"U7","39.3749mm","4.6046mm","TopLayer","270"
"U8","38.8674mm","53.0807mm","TopLayer","0"
"U9","38.8857mm","60.7510mm","TopLayer","0"
"U10","38.9040mm","68.4395mm","TopLayer","0"
"U11","38.9110mm","76.1116mm","TopLayer","0"
"U12","69.4842mm","94.2701mm","TopLayer","90"
"U13","54.0689mm","94.2483mm","TopLayer","90"
